IngredientName,Category,BaseWeight,MeasuringUnit,Cost
Ground Chicken,Meat,400,g,45
Ground Beef,Meat,400,g,59
Pasta Plates,Pasta,100,g,49
Tomato Sauce,Sauce,200,g,49
Hermetic Corn,Vegetable,120,g,20
Grated Cheese,Cheese,200,g,59
Apple,Fruit,1,amount,10
Thousand Island Sauce,Sauce,250,mL,49
Chicken Breast,Meat,1.2,kg,179
Kidney Beans,Vegetable,220,g,9
Cooking Butter,Butter,500,g,39
Egg 12-pack,Eggs,12,amount,49
Bread Slices,Bread,12,amount,19
Butter,Butter,400,g,39
Cooking Oil,Oil,500,mL,59
Skimmed Milk,Milk,1.75,L,0
Spinach,Vegetable,200,g,39
Carrots 12-pack,Vegetable,12,amount,39
Coca Cola Zero,Soda,1.5,L,39
Monster Energy Drink,Energy Drink,500,mL,24
Sunflower Seeds,Seeds,200,g,29
Feta Cheese,Cheese,200,g,59
Basmati Rice,Rice,750,g,29
Taco Sauce,Sauce,250,g,29
