IngredientName,Quantity,ExpirationDate
Ground Chicken,400,25012025
Ground Beef,400,25012025
Ground Beef,400,25022025
Ground Beef,400,25012023
Pasta Plates,100,25012025
Tomato Sauce,200,25012025
Tomato Sauce,200,25012022
Hermetic Corn,120,25012025
Grated Cheese,200,25012025
Apple,1,25012025
Thousand Island Sauce,250,25012025
Chicken Breast,1.2,25012025
Kidney Beans,220,25012025
Cooking Butter,500,25012025
Egg 12-pack,12,25012025
Bread Slices,12,25012025
Butter,400,25012025
Cooking Oil,500,01012030
Skimmed Milk,1.75,01012025
Spinach,200,25012025
Carrots 12-pack,12,25012025
Coca Cola Zero,1.5,25012025
Monster Energy Drink,500,25012026
Sunflower Seeds,200,25012025
Feta Cheese,200,25012025
Basmati Rice,750,25012025
Taco Sauce,250,25012025
